total_completed_flows,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,mean_throughput_mbps,total_throughput_mbps,packet_loss_rate,mean_jain_fairness,mean_peak_utilization,max_peak_utilization,mean_path_stretch,max_path_stretch,route_churn_rate,recovery_time_ticks,total_queries,fallback_count,fallback_ratio,mean_compute_latency_us,p95_compute_latency_us,mean_env_overhead_us,mean_path_solve_us,eval_seed,traffic_model,failure_model,algorithm
459,4.016339869281046,3.5,6.5,6.5,7.0,75.17671103999999,1879.4177759999998,0.002365823309829946,0.14999305610102598,0.6824370405582314,1.0,1.0427860696517413,3.0,0.07661691542288557,0.0,500,0,0.0,146.032,359.335,0.0,146.032,43,hotspot,single_link_cut,dynamic_dijkstra
463,3.980561555075594,3.5,6.5,6.5,7.0,75.7010688,1892.52672,0.004296972210700954,0.14938484321623258,0.6765865137451348,1.0,1.0161943319838056,3.0,0.00708502024291498,0.0,500,0,0.0,273.943,627.8499999999999,0.0,273.943,43,hotspot,single_link_cut,ecmp
460,4.0,3.5,6.5,6.5,7.0,75.35126303999999,1883.7815759999999,0.0018361693707954097,0.14758248394978352,0.6867992793106212,1.0,1.028839704896043,3.0,0.018108651911468814,0.0,500,0,0.0,3653.4276,4197.455,0.0,3653.4276,43,hotspot,single_link_cut,ai_xgboost
463,3.980561555075594,3.5,6.5,6.5,7.0,75.7010688,1892.52672,0.004296972210700954,0.14787664310705742,0.6831797598585863,1.0,1.0161943319838056,3.0,0.008097165991902834,0.0,500,393,0.786,4526.2596,6499.284999999998,0.0,4526.2596,43,hotspot,single_link_cut,rl_ppo
222,4.364864864864865,5.0,7.0,7.0,7.0,31.943114239999996,798.5778559999999,0.0026425290462037286,0.106478979711061,0.6688366761424569,1.0,1.0,1.0,0.0,,250,0,0.0,87.04159999999999,131.955,0.0,87.04159999999999,44,uniform,nominal,static_dijkstra
222,4.387387387387387,5.0,7.0,7.0,7.0,31.895534399999995,797.3883599999999,0.00640913508260447,0.10820674959327281,0.6604458241248675,1.0,1.0130932896890343,3.0,0.02127659574468085,,250,0,0.0,86.37559999999999,142.91,0.0,86.37559999999999,44,uniform,nominal,dynamic_dijkstra
222,4.364864864864865,5.0,7.0,7.0,7.0,31.943114239999996,798.5778559999999,0.0026425290462037286,0.10632850056708942,0.6688366761424569,1.0,1.0,1.0,0.0,,250,0,0.0,195.35520000000002,409.705,0.0,195.35520000000002,44,uniform,nominal,ecmp
222,4.382882882882883,5.0,7.0,7.0,7.0,31.943114239999996,798.5778559999999,0.0026425290462037286,0.1085202883137516,0.6676038401874668,1.0,1.0065573770491802,3.0,0.011475409836065573,,250,0,0.0,3981.96,4237.349999999999,0.0,3981.96,44,uniform,nominal,ai_xgboost
222,4.364864864864865,5.0,7.0,7.0,7.0,31.943114239999996,798.5778559999999,0.0026425290462037286,0.106478979711061,0.6688366761424569,1.0,1.0,1.0,0.0,,250,225,0.9,4465.3024,6418.344999999998,0.0,4465.3024,44,uniform,nominal,rl_ppo
222,4.400900900900901,5.0,7.0,7.0,7.0,31.943114239999996,798.5778559999999,0.0026425290462037286,0.10825440179833302,0.6688366761424569,1.0,1.0167748917748916,1.6666666666666667,0.0,0.0,250,0,0.0,168.1348,422.3249999999999,0.0,168.1348,44,uniform,single_link_cut,static_dijkstra
222,4.423423423423423,5.0,7.0,7.0,7.0,31.895534399999995,797.3883599999999,0.00640913508260447,0.10996222107837834,0.6604458241248675,1.0,1.029617662897146,3.0,0.0210016155088853,0.0,250,0,0.0,160.446,369.76499999999993,0.0,160.446,44,uniform,single_link_cut,dynamic_dijkstra
222,4.400900900900901,5.0,7.0,7.0,7.0,31.943114239999996,798.5778559999999,0.0026425290462037286,0.10803742526581624,0.6688366761424569,1.0,1.0167748917748916,1.6666666666666667,0.0,0.0,250,0,0.0,358.2592,773.5099999999999,0.0,358.2592,44,uniform,single_link_cut,ecmp
222,4.436936936936937,5.0,7.0,7.0,7.0,31.94311424,798.577856,0.0026425290462037286,0.11038694244525395,0.6676038401874668,1.0,1.0295698924731183,3.0,0.01129032258064516,0.0,250,0,0.0,3731.1023999999993,4301.415,0.0,3731.1023999999993,44,uniform,single_link_cut,ai_xgboost
222,4.400900900900901,5.0,7.0,7.0,7.0,31.943114239999996,798.5778559999999,0.0026425290462037286,0.10825440179833302,0.6688366761424569,1.0,1.0167748917748916,1.6666666666666667,0.0,0.0,250,226,0.904,4698.2396,6780.984999999999,0.0,4698.2396,44,uniform,single_link_cut,rl_ppo
460,3.9293478260869565,3.5,6.5,6.5,7.0,73.98421760000001,1849.60544,0.0009555273189326556,0.13316955564631153,0.6901459813478605,1.0,1.0,1.0,0.0,,500,0,0.0,70.39779999999999,119.1,0.0,70.39779999999999,44,hotspot,nominal,static_dijkstra
458,3.953056768558952,3.5,6.5,6.5,7.0,73.72205024,1843.051256,0.0002672915039486245,0.14254465101413963,0.6745957452809747,1.0,1.015428958969142,2.0,0.06002034587995931,,500,0,0.0,76.1138,125.72499999999998,0.0,76.1138,44,hotspot,nominal,dynamic_dijkstra
460,3.9293478260869565,3.5,6.5,6.5,7.0,73.98421760000001,1849.60544,0.0009555273189326556,0.13406665176238583,0.6852490159321136,1.0,1.0,1.0,0.0,,500,0,0.0,154.53039999999996,383.0899999999999,0.0,154.53039999999996,44,hotspot,nominal,ecmp
460,3.9467391304347825,3.5,6.5,6.5,7.0,73.98421760000001,1849.60544,0.0009555273189326556,0.13420702822287567,0.6976075326580582,1.0,1.0119169220292816,2.0,0.021450459652706845,,500,0,0.0,3817.725,4737.504999999999,0.0,3817.725,44,hotspot,nominal,ai_xgboost
460,3.9293478260869565,3.5,6.5,6.5,7.0,73.98421760000001,1849.60544,0.0009555273189326556,0.13316955564631153,0.6901459813478605,1.0,1.0,1.0,0.0,,500,390,0.78,4318.328,6675.8,0.0,4318.328,44,hotspot,nominal,rl_ppo
460,3.981521739130435,3.5,6.5,6.5,7.0,73.9842176,1849.6054399999998,0.0009555273189326556,0.1327279000625166,0.7155229119730474,1.0,1.0312227805695142,3.0,0.012060301507537688,0.0,502,0,0.0,129.88844621513945,298.49,0.0,129.88844621513945,44,hotspot,single_link_cut,static_dijkstra
458,4.0185589519650655,3.5,6.5,6.5,7.0,73.72205024,1843.051256,0.0002672915039486245,0.14053868304873782,0.7072729555543554,1.0,1.054344235216386,3.0,0.06442021803766106,0.0,500,0,0.0,139.5832,333.68499999999995,0.0,139.5832,44,hotspot,single_link_cut,dynamic_dijkstra
460,3.981521739130435,3.5,6.5,6.5,7.0,73.9842176,1849.6054399999998,0.0009555273189326556,0.1327243155714811,0.7155229119730474,1.0,1.0312227805695142,3.0,0.012060301507537688,0.0,502,0,0.0,278.86195219123505,583.3399999999999,0.0,278.86195219123505,44,hotspot,single_link_cut,ecmp
460,4.016304347826087,3.5,6.5,6.5,7.204999999999984,73.98421760000001,1849.60544,0.0009555273189326556,0.13422062072166177,0.720983755396463,1.0,1.05253227408143,3.0,0.033763654419066536,0.0,502,0,0.0,3600.7468127490038,4130.175,0.0,3600.7468127490038,44,hotspot,single_link_cut,ai_xgboost
460,3.981521739130435,3.5,6.5,6.5,7.0,73.9842176,1849.6054399999998,0.0009555273189326556,0.1327279000625166,0.7155229119730474,1.0,1.0312227805695142,3.0,0.012060301507537688,0.0,502,398,0.7928286852589641,4557.6954183266935,6490.53,0.0,4557.6954183266935,44,hotspot,single_link_cut,rl_ppo
